nom,typologie,localite
Hôtel Les Sables - Urban Style - by Logis Hotels,Chambre Familiale,Canet-en-Roussillon
Côté Thalasso Hôtel & Spa Marin,Chambre Quadruple - Vue sur Mer,Banyuls-sur-Mer
Le Grand Tétras,Chambre Double Forêt,Font-Romeu
Le Madeloc Hôtel & Spa,Chambre Double avec Terrasse,Collioure
Acapella Hotel,Chambre Double ou Lits Jumeaux Confort avec Balcon,Argelès-sur-Mer
Hotel des Pyrénées,Chambre Double - Vue sur Montagne,Font-Romeu
Hotel Terranova,Chambre Double Deluxe,Pas de la Case
Hotel Saint Georges- Face à la mer,Chambre Quadruple Économique,Canet-en-Roussillon
Le Galion Hotel et Restaurant Canet Plage - Logis,Chambre Double Classique,Canet-en-Roussillon
Holiday Inn Perpignan- an IHG Hotel,Chambre Double Standard,Perpignan
Le Mas des Citronniers,Chambre Double Classique,Collioure
Kyriad Direct Perpignan - Aeroport,Chambre Double,Rivesaltes
ibis Styles Perpignan Centre Gare,Chambre Triple,Perpignan
Mar I Sol Logis,Chambre Double Standard,Saint-Cyprien
Best Western Le Vauban,Chambre Lit King-Size Classique,Prades
Grand Hôtel Les Flamants Roses Thalasso & Spa,Suite avec Accès Gratuit au Spa  - Vue sur Mer,Canet-en-Roussillon
Domaine Riberach - Restaurant étoilé - Spa - Piscine naturelle - Vignoble bio,Chambre Familiale,Bélesta
Best Western Plus Hotel Canet-Plage,Chambre Standard avec Vue sur la Ville,Canet-en-Roussillon
CIM HOTEL BOUTIQUE,Chambre Double,Puigcerdà
Hotel Les Neus,Chambre Double ou Lits Jumeaux,Pas de la Case
Hôtel Vesuvio,Chambre Triple Standard,Lourdes
Hôtel Paradis,Chambre Double ou Lits Jumeaux,Lourdes
Hotel Du Gave,Chambre Double,Lourdes
Hôtel Eliseo,Chambre Double,Lourdes
Hôtel Alba,Chambre Lits Jumeaux,Lourdes
Hôtel Le Picors,Chambre Triple Basique,Aucun
Hôtel Roissy,Chambre Lits Jumeaux Confort,Lourdes
Hôtel Kennedy Parc des Expositions,Chambre Double avec Douche,Tarbes
Hôtel Majestic,Chambre Double ou Lits Jumeaux,Lourdes
Hôtel Padoue,Chambre Double,Lourdes
Hôtel Saint Sauveur,Chambre Double ou Lits Jumeaux,Lourdes
Best Western Beauséjour,Chambre Double ou Lits Jumeaux Supérieure,Lourdes
Hôtel Le Rive Droite & SPA,Chambre Double Classique avec Lit Double,Lourdes
Grand Hôtel de France,Chambre Double Standard,Pierrefitte-Nestalas
Hôtel Tourmalet,Chambre Triple,Luz-Saint-Sauveur
Hôtel Le Milan,Chambre Lits Jumeaux,Lourdes
Hôtel Croix des Nordistes,Chambre Triple,Lourdes
Hôtel Peyramale,Chambre Double,Lourdes
Grand Hôtel Gallia & Londres Spa NUXE,Chambre Double Supérieure,Lourdes
Hôtel Christina Lourdes,Chambre Double ou Lits Jumeaux,Lourdes
Hôtel Au Petit Languedoc,Chambre Triple Familiale,Lourdes
Hôtel Notre Dame de la Sarte,Chambre Lits Jumeaux - Vue sur Patio,Lourdes
Hôtel Compostelle,Chambre Lits Jumeaux Économique,Lourdes
Hôtel Astrid,Chambre Lits Jumeaux Classique,Lourdes
Belfry & Spa by Ligne St Barth,Chambre Lit King-Size avec Accès Gratuit au Spa,Lourdes
Hôtel & Spa Madison Saint Jean de Luz,Suite Familiale,Saint-Jean-de-Luz
Outsite Coliving Biarritz,Chambre Double Standard,Centre de Biarritz Biarritz
Quick Palace Pau Zénith,Chambre Double,Pau
Hotel Agur Deneri,Chambre Double avec Terrasse - Vue sur le Port,Ciboure
Hôtel Argia,Chambre Double,Hasparren
Okko Hotels Bayonne Centre,Chambre Classique,Bayonne
Hotel Balea,Chambre Double,Guéthary
Hôtel Ibaia,Chambre Double - Vue sur Jardin,Hendaye
Brit Hotel Confort Pau Lons,Chambre Double,Lons
Hôtel Le Windsor Biarritz,Chambre Familiale,Centre de Biarritz Biarritz
Grand Tonic Hotel & SPA NUXE,Chambre Double ou Lits Jumeaux Standard,Biarritz
Mosaikhotel,Chambre Double Supérieure,Saint-Jean-de-Luz
Best Western Kemaris,Chambre Lit Queen-Size Confort,Biarritz
Ostal Pau Universite - Sure Hotel Collection by Best Western,Chambre Familiale Standard 1 Lit Double et 1 Lit Simple,Pau
Grand Hôtel Thalasso & Spa,Chambre Double Supérieure - Accès Gratuit au Spa,Saint-Jean-de-Luz
Regina Experimental Biarritz,Suite Familiale,Biarritz
Hotel Villa Catarie,Chambre Double avec Balcon,Guéthary
Thalazur Saint Jean de Luz - Hôtel & Spa,Chambre Supérieure avec Terrasse,Saint-Jean-de-Luz
ibis budget Bayonne,Chambre Triple,Bayonne
Campanile Saint Jean de Luz,Chambre Double,Saint-Jean-de-Luz
Hôtel Les Genêts Bayonne,Chambre Triple Standard,Bayonne
ibis budget Pau Lescar,Chambre Double avec Lit Superposé,Lescar
Hotel Loreak,Chambre Double,Bayonne
Hôtel de la Rhune,Appartement 2 Chambres,Ascain
Hotel & Spa 4* Serge Blanco,Chambre Double avec Balcon et Accès au Spa,Hendaye
Azur Hotel,Chambre Double,Balaruc-les-Bains
Le Grand Hôtel Molière,Chambre Double Supérieure,Pézenas
Hotel & Spa Gil de France Cap d'Agde,Chambre Double avec Accès à la Piscine Chauffée,Le Cap d'Agde
Garrigae Distillerie de Pezenas - Hotellerie & Spa,Chambre Tradition,Pézenas
Châteauzen,Chambre Double Deluxe avec Baignoire,Madières
Hotel Port Marine,Suite Familiale Junior,Sète
HALT HOTEL - Choisissez l'Hôtellerie Indépendante,Chambre Double,Lattes
Hotel Yseria - Historical Center,Chambre Lit Queen-Size,Agde
ACE Hôtel Travel Fabrègues - A9 Montpellier Sud,Chambre Lits Jumeaux Standard,Fabrègues
Hôtel les 4 éléments,Chambre Double,Palavas-les-Flots
JOST Hotel Montpellier Centre St Roch,Chambre Familiale,Centre-ville de Montpellier Montpellier
Mauguio Center Hôtel,Chambre Triple Confort,Mauguio
GOLF HOTEL,Chambre Double Confort,La Grande Motte
Zenitude Hotel la Valadiere- Ascend Hotel Collection,Chambre Double Standard - Annexe,Montpellier
Opéralia Hôtel les Pins,Chambre Lit Queen-Size,Balaruc-les-Bains
Best Western Hotelio Montpellier Sud,Chambre Lits Jumeaux Standard,Montpellier
Hôtel Saint-Alban,Chambre Triple Supérieure,Nézignan-lʼÉvêque
Courtyard by Marriott Montpellier,Chambre Lits Jumeaux Standard,Montpellier
Eklo Montpellier Centre Gare,Chambre EkloCompact,Centre-ville de Montpellier Montpellier
Belambra Clubs La Grande Motte - Petite Camargue Presqu'île Du Ponant,Bungalow 1 Chambre,La Grande Motte
